condition,episode,censored,died,start_simulation_age_ms,end_simulation_age_ms,survival_ticks,survival_seconds,kills,hits,shots,attack_ticks,damage_received,damage_events,damage_per_minute,distance_doom_units,mean_abs_turn,mean_turn,mean_forward
none,1,False,True,0,6257.1,219,6.2571,1,1,8,25,100.0,9,958.904,206.665,0.91415,0.41411,2.17481
none,2,False,True,6257.1,11514.3,184,5.2571,1,2,7,18,100.0,9,1141.304,110.104,1.0383,0.52159,1.33298
none,3,False,True,11514.3,16657.1,180,5.1429,0,1,5,12,100.0,9,1166.667,98.916,1.00038,0.39947,1.14568
none,4,False,True,16657.1,23685.7,246,7.0286,1,3,9,18,100.0,11,853.659,133.125,0.92881,0.51148,1.14222
none,5,False,True,23685.7,29028.6,187,5.3429,0,2,7,18,100.0,10,1122.995,97.479,0.84132,0.2822,1.33842
none,6,False,True,29028.6,34428.6,189,5.4,0,0,6,14,100.0,9,1111.111,96.357,1.03978,0.47809,1.33995
none,7,False,True,34428.6,42314.3,276,7.8857,2,2,10,24,100.0,9,760.87,169.26,1.07912,0.60703,1.26634
none,8,False,True,42314.3,47628.6,186,5.3143,0,1,7,21,100.0,9,1129.032,102.086,0.93354,0.21219,1.57099
none,9,False,True,47628.6,54685.7,247,7.0571,1,0,10,32,100.0,9,850.202,184.702,1.05619,0.3956,1.96577
none,10,False,True,54685.7,62200.0,263,7.5143,2,2,10,17,100.0,10,798.479,129.628,0.99833,0.62198,0.90988
none,11,False,True,62200.0,67914.3,200,5.7143,1,3,7,21,100.0,11,1050.0,135.694,1.06223,0.5914,1.68995
none,12,False,True,67914.3,72285.7,153,4.3714,0,0,4,10,100.0,7,1372.549,68.338,0.93858,0.4334,0.90616
none,13,False,True,72285.7,78114.3,204,5.8286,0,2,7,24,100.0,10,1029.412,119.533,0.91885,0.38344,1.67298
none,14,False,True,78114.3,84171.4,212,6.0571,0,3,7,18,100.0,9,990.566,125.531,0.90421,0.33502,1.25488
none,15,False,True,84171.4,88800.0,162,4.6286,1,3,7,13,100.0,10,1296.296,108.502,0.79054,0.01346,1.11863
none,16,False,True,88800.0,95771.4,244,6.9714,0,2,8,24,100.0,13,860.656,121.047,1.01039,0.54172,1.50548
